# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

College_ID,Institute_Code,College_Name,Branch,CAP_Round,Category,Gender,Seat_Type,Home_University,Cutoff_Percentile,Cutoff_Rank,Annual_Fees,Intake
1,MH1001,"COEP Technological University, Pune",Information Technology,CAP3,ST,Female,Home University,SGB Amravati University,88.39,110575,121000,30
1,MH1001,"COEP Technological University, Pune",Information Technology,CAP1,SC,Male,Other Than Home University,SRTM Nanded University,89.62,98721,139000,30
1,MH1001,"COEP Technological University, Pune",Information Technology,CAP1,OBC,Female,Other Than Home University,Pune University (SPPU),96.69,31812,179000,120
1,MH1001,"COEP Technological University, Pune",Computer Engineering,CAP1,NT2,Male,Other Than Home University,Pune University (SPPU),95.72,40835,145000,60
1,MH1001,"COEP Technological University, Pune",Computer Engineering,CAP2,EWS,Male,TFWS,Shivaji University Kolhapur,97.4,24894,122000,90
1,MH1001,"COEP Technological University, Pune",Computer Engineering,CAP3,OPEN,Male,Home University,Mumbai University,99.03,9237,168000,30
1,MH1001,"COEP Technological University, Pune",Electrical Engineering,CAP3,NT1,Male,Home University,Pune University (SPPU),93.71,60197,156000,30
1,MH1001,"COEP Technological University, Pune",Electrical Engineering,CAP3,OBC,Male,State Level,Mumbai University,93.57,61424,139000,90
1,MH1001,"COEP Technological University, Pune",Electrical Engineering,CAP1,EWS,Female,Other Than Home University,RTM Nagpur University,98.68,12734,145000,120
1,MH1001,"COEP Technological University, Pune",Electronics and Telecommunication Engineering,CAP2,VJ,Female,State Level,RTM Nagpur University,91.62,79746,119000,30
1,MH1001,"COEP Technological University, Pune",Electronics and Telecommunication Engineering,CAP1,SC,Female,Home University,SGB Amravati University,90.88,86766,130000,120
1,MH1001,"COEP Technological University, Pune",Electronics and Telecommunication Engineering,CAP2,VJ,Female,TFWS,Mumbai University,94.66,51058,138000,90
1,MH1001,"COEP Technological University, Pune",Chemical Engineering,CAP2,ST,Female,Other Than Home University,RTM Nagpur University,84.24,149829,150000,60
